image_name,label
92417.png,0
26305.png,0
61234.png,0
59064.png,0
17634.png,0
03246.png,0
97635.png,1
09634.png,1
49630.png,0
60173.png,0
38490.png,0
68423.png,0
76258.png,1
39652.png,0
70435.png,1
08654.png,1
37402.png,0
26795.png,0
60317.png,0
34805.png,0
01389.png,0
80361.png,1
74536.png,1
15283.png,0
75340.png,1
96153.png,0
63917.png,0
38529.png,0
92016.png,1
79054.png,0
06471.png,1
07698.png,0
01896.png,0
76354.png,0
80237.png,0
71045.png,0
67084.png,0
68507.png,1
58096.png,0
04263.png,1
26043.png,0
26031.png,0
64701.png,0
26495.png,1
81963.png,0
56972.png,0
83127.png,0
10827.png,0
56378.png,1
50273.png,0
25397.png,1
46058.png,0
06218.png,0
02849.png,1
69042.png,0
41853.png,0
70652.png,0
27943.png,0
68159.png,0
91704.png,1
94823.png,0
63285.png,1
42693.png,1
64027.png,1
20751.png,1
94351.png,1
27489.png,0
81394.png,0
59467.png,1
71906.png,0
81265.png,0
67384.png,1
21086.png,1
40153.png,1
31025.png,0
68042.png,0
70549.png,0
48612.png,0
05183.png,0
27430.png,0
13859.png,0
68379.png,1
25037.png,0
16380.png,0
25861.png,0
59478.png,1
71249.png,0
12673.png,0
74235.png,0
63275.png,0
17830.png,0
48625.png,0
93216.png,0
19256.png,1
43201.png,0
38127.png,0
53962.png,0
76213.png,0
28317.png,0
03251.png,0
09132.png,0
54973.png,0
04651.png,0
78560.png,0
95317.png,1
16490.png,1
13876.png,1
80239.png,0
19540.png,0
61927.png,0
52903.png,1
56389.png,1
64805.png,1
74038.png,0
86530.png,0
92450.png,0
79103.png,1
94721.png,0
89042.png,1
27034.png,1
67198.png,0
09347.png,0
54276.png,0
36472.png,0
15938.png,0
87049.png,0
54761.png,0
30628.png,0
91375.png,0
87530.png,0
05129.png,1
34658.png,1
42387.png,0
67415.png,1
86054.png,0
29517.png,0
28704.png,0
72531.png,0
27953.png,1
07249.png,0
75403.png,0
30948.png,0
38245.png,0
89160.png,0
93658.png,0
32046.png,0
04568.png,0
54817.png,1
42786.png,0
58197.png,0
92185.png,0
38704.png,1
75481.png,0
42309.png,1
04253.png,0
28971.png,0
26741.png,0
03685.png,0
40286.png,0
14695.png,0
59837.png,1
54397.png,0
07192.png,1
01392.png,0
67219.png,0
14697.png,0
68194.png,0
32468.png,0
01524.png,1
60937.png,0
75428.png,1
67512.png,0
83492.png,0
94617.png,0
65320.png,0
32765.png,0
04326.png,1
65413.png,0
76034.png,0
52986.png,1
36981.png,0
63140.png,0
68307.png,0
75182.png,0
89610.png,1
69137.png,0
17829.png,0
90165.png,0
37641.png,1
32485.png,0
78906.png,0
41258.png,0
04296.png,0
56841.png,0
01658.png,0
85062.png,0
89740.png,1
53278.png,0
67159.png,1
95683.png,0
85271.png,0
16409.png,0
17504.png,0
62739.png,0
85421.png,0
29731.png,0
74152.png,1
61802.png,1
96143.png,1
53714.png,0
79358.png,0
34920.png,0
63415.png,0
51734.png,1
80534.png,0
61485.png,0
89603.png,0
16784.png,0
80169.png,1
54936.png,0
83290.png,0
97816.png,0
73562.png,0
42368.png,1
15743.png,0
96073.png,0
85362.png,0
25968.png,0
40965.png,0
41568.png,1
71289.png,0
08172.png,0
60128.png,1
84703.png,1
04325.png,0
07258.png,1
98764.png,0
04162.png,0
06357.png,0
68947.png,0
25639.png,1
52738.png,0
47598.png,0
09716.png,0
08632.png,1
78520.png,0
82763.png,0
38427.png,1
38156.png,0
62358.png,0
48317.png,0
20759.png,1
76328.png,0
20879.png,0
62435.png,1
62849.png,1
19586.png,0
84120.png,0
81630.png,0
41032.png,0
35910.png,0
07591.png,0
62081.png,1
85923.png,1
45912.png,0
87031.png,0
06483.png,1
64130.png,0
31074.png,0
82637.png,0
12349.png,1
43128.png,1
29761.png,0
17495.png,0
15409.png,0
59317.png,0
78469.png,1
12867.png,1
26497.png,0
65980.png,0
27139.png,0
23690.png,0
64853.png,1
01492.png,0
97542.png,0
98561.png,0
18597.png,0
92467.png,0
73204.png,1
58604.png,1
93086.png,1
16278.png,1
40932.png,1
96824.png,0
92453.png,0
89162.png,0
82379.png,0
31765.png,0
72504.png,0
10492.png,1
67894.png,0
78124.png,0
48756.png,0
41803.png,0
78465.png,1
42015.png,0
67214.png,1
37548.png,0
73241.png,0
27816.png,0
79613.png,0
86051.png,0
03957.png,0
18693.png,0
23061.png,0
67809.png,0
72893.png,1
59231.png,0
59346.png,0
32768.png,0
76138.png,1
15902.png,0
23849.png,0
60729.png,1
54976.png,0
36480.png,0
46251.png,0
45698.png,0
79286.png,0
01526.png,0
75832.png,0
91283.png,0
16539.png,0
95108.png,0
95174.png,0
45706.png,0
40291.png,1
39821.png,0
41923.png,0
32714.png,0
85960.png,0
46910.png,1
46178.png,0
80924.png,1
81094.png,0
37809.png,0
62314.png,0
81436.png,0
29376.png,0
96508.png,0
76892.png,0
13096.png,1
94710.png,1
52496.png,0
56708.png,0
27605.png,0
80792.png,0
42317.png,0
23715.png,1
14360.png,0
74631.png,0
82134.png,1
76814.png,0
75928.png,1
13459.png,0
92867.png,0
02519.png,1
21354.png,0
73810.png,0
47862.png,0
94378.png,0
86912.png,1
52974.png,1
87203.png,0
32051.png,0
40896.png,0
05984.png,0
65328.png,0
15630.png,0
80629.png,0
73596.png,0
21346.png,0
20835.png,1
13690.png,0
07983.png,0
15648.png,1
34675.png,0
59684.png,0
25706.png,0
03298.png,0
53204.png,0
62514.png,0
59376.png,1
89061.png,0
73045.png,0
43675.png,0
18203.png,1
26034.png,0
67984.png,1
62408.png,0
30958.png,0
35218.png,0
96840.png,1
83510.png,0
67109.png,1
29813.png,1
68715.png,0
92478.png,0
91423.png,1
13068.png,0
69542.png,0
19247.png,0
03187.png,0
03574.png,0
92514.png,0
89102.png,1
10538.png,0
05841.png,1
28074.png,0
34862.png,0
24581.png,0
70843.png,0
31568.png,0
60592.png,1
15824.png,0
64017.png,0
63871.png,0
41562.png,0
20876.png,0
21908.png,0
76851.png,0
67431.png,0
65124.png,0
46902.png,0
85426.png,0
04798.png,0
31897.png,0
93275.png,0
47618.png,0
81975.png,0
85729.png,0
54917.png,0
69158.png,0
86451.png,0
10328.png,1
71485.png,0
71583.png,0
21403.png,0
95482.png,0
79610.png,0
76140.png,1
35917.png,1
01475.png,1
49185.png,1
16480.png,0
20617.png,1
16058.png,0
70849.png,0
78306.png,0
97623.png,1
92314.png,1
52406.png,0
71230.png,0
90786.png,1
62458.png,0
40137.png,0
38069.png,0
20819.png,0
20163.png,0
50248.png,0
83619.png,1
26459.png,0
30412.png,0
97035.png,1
74602.png,0
93650.png,0
95742.png,0
93410.png,0
75203.png,1
54286.png,0
02841.png,0
93076.png,0
89407.png,0
65728.png,0
75841.png,0
38624.png,1
36187.png,0
47095.png,1
51746.png,0
32876.png,1
21408.png,1
64513.png,0
10527.png,0
45891.png,0
21096.png,0
57043.png,0
85413.png,0
06392.png,0
97316.png,1
47290.png,0
03971.png,0
65237.png,0
53017.png,0
13769.png,0
73258.png,0
90278.png,1
34186.png,1
70594.png,0
74019.png,0
34581.png,1
13486.png,1
18607.png,0
36048.png,0
16283.png,0
72058.png,0
70315.png,0
49076.png,0
98351.png,1
57164.png,1
35460.png,0
69342.png,1
63295.png,1
87504.png,0
85614.png,0
18650.png,1
83014.png,0
41986.png,0
50867.png,1
51092.png,0
20945.png,0
91562.png,0
81720.png,0
78031.png,1
84351.png,0
69078.png,0
58463.png,0
05123.png,1
53924.png,0
90481.png,0
30847.png,1
71392.png,0
25640.png,0
52931.png,0
50461.png,0
83941.png,0
70654.png,1
71398.png,0
37182.png,1
48920.png,0
06439.png,0
05798.png,0
59261.png,0
09831.png,1
75138.png,1
35412.png,0
89170.png,0
30276.png,0
81263.png,0
32089.png,0
92081.png,0
71052.png,1
45960.png,0
19630.png,0
18275.png,0
45836.png,0
87610.png,0
82154.png,1
49128.png,0
73652.png,0
07124.png,0
45780.png,0
58301.png,0
86907.png,0
45291.png,0
50473.png,0
89475.png,0
02769.png,0
13964.png,0
15690.png,1
06239.png,0
94678.png,0
39164.png,1
71839.png,0
74861.png,0
80532.png,0
57861.png,1
20134.png,0
96531.png,0
06798.png,0
62017.png,0
92157.png,0
63702.png,0
58326.png,0
82356.png,1
37250.png,0
24197.png,1
69018.png,0
90582.png,0
92146.png,0
83074.png,0
75210.png,0
08259.png,0
26930.png,0
75410.png,1
72456.png,1
80347.png,0
67319.png,0
53678.png,1
57029.png,0
71826.png,1
89573.png,0
67402.png,0
65139.png,1
36597.png,0
67852.png,1
40217.png,0
86143.png,0
24130.png,0
93671.png,0
07615.png,0
36581.png,0
98032.png,0
91738.png,0
53241.png,0
13249.png,1
94361.png,0
51768.png,0
58029.png,0
20379.png,1
75698.png,0
29063.png,0
80341.png,0
45036.png,0
09265.png,0
19458.png,0
71403.png,0
94062.png,0
06197.png,0
56274.png,0
63952.png,0
92546.png,0
92436.png,1
98573.png,1
15078.png,0
70384.png,0
83219.png,1
51489.png,0
07215.png,0
30687.png,0
73251.png,0
52340.png,0
28604.png,1
07312.png,0
80217.png,0
06893.png,1
93068.png,0
53184.png,0
02947.png,0
06153.png,0
94850.png,0
32750.png,0
81953.png,0
58091.png,1
98256.png,0
54319.png,1
94360.png,1
54692.png,0
01642.png,1
46150.png,0
19438.png,0
45730.png,1
30792.png,0
83901.png,0
23705.png,0
49806.png,0
40813.png,0
01468.png,0
10589.png,0
70132.png,0
65319.png,0
36281.png,0
83965.png,1
30156.png,0
61450.png,0
21078.png,1
65914.png,0
28637.png,0
92067.png,0
13652.png,1
80197.png,0
47601.png,1
86713.png,1
70329.png,0
48015.png,0
23510.png,1
07826.png,0
09867.png,1
01275.png,0
37862.png,1
37825.png,1
83064.png,1
71903.png,0
62913.png,1
13958.png,1
08164.png,1
63517.png,0
93861.png,1
51407.png,1
28574.png,1
94731.png,0
85073.png,0
04762.png,0
08125.png,1
63749.png,0
59731.png,1
98523.png,0
36079.png,0
21753.png,0
17345.png,1
97041.png,0
89640.png,1
73981.png,0
56208.png,0
07234.png,0
37021.png,1
97108.png,0
32507.png,0
03927.png,1
53607.png,1
15806.png,0
48250.png,1
70153.png,0
90183.png,1
47205.png,0
23648.png,1
28670.png,1
30742.png,1
68531.png,1
01793.png,1
70452.png,0
61483.png,0
04892.png,0
41739.png,0
62135.png,1
60573.png,0
19526.png,0
28163.png,0
04695.png,1
87513.png,0
56071.png,1
09821.png,0
42853.png,1
02795.png,0
25164.png,0
24356.png,0
53420.png,0
92180.png,0
59046.png,1
76521.png,1
75468.png,1
23164.png,0
35642.png,1
48573.png,0
38927.png,0
42813.png,0
12704.png,1
74650.png,0
30174.png,0
38402.png,0
39675.png,0
19705.png,1
05483.png,0
64059.png,0
29703.png,1
98145.png,1
76534.png,1
47582.png,0
35602.png,1
71845.png,0
13460.png,0
96402.png,1
57124.png,1
84317.png,0
14507.png,1
53194.png,1
85967.png,0
92743.png,0
63012.png,0
64523.png,0
36814.png,0
05917.png,1
25914.png,0
49705.png,1
01749.png,0
43798.png,0
18254.png,0
16548.png,0
28045.png,0
49687.png,0
93487.png,0
21035.png,0
63210.png,0
96172.png,1
48679.png,0
15638.png,0
87315.png,0
56231.png,0
91753.png,0
67091.png,0
78052.png,0
79623.png,0
82940.png,0
23908.png,1
39640.png,1
81207.png,0
73198.png,0
58321.png,0
30548.png,0
62745.png,0
14690.png,0
40916.png,1
03162.png,0
38162.png,0
98241.png,1
87326.png,0
98034.png,0
40627.png,1
84276.png,0
16053.png,0
67983.png,1
92148.png,1
84295.png,1
72658.png,0
86753.png,1
13209.png,1
81390.png,0
91034.png,0
60235.png,1
86075.png,1
30816.png,1
49063.png,0
51480.png,0
80165.png,0
89521.png,1
91764.png,0
08349.png,1
35784.png,0
95846.png,1
21560.png,0
28451.png,0
58372.png,0
94836.png,0
50312.png,1
54713.png,0
63805.png,1
35402.png,1
93084.png,0
85743.png,0
54639.png,0
94628.png,0
74513.png,1
69348.png,0
74062.png,0
39815.png,0
62931.png,1
95672.png,0
61382.png,0
67183.png,1
45037.png,1
28930.png,0
57042.png,1
04591.png,0
36985.png,0
48136.png,0
26973.png,0
71245.png,1
30128.png,0
05372.png,0
36478.png,0
46870.png,1
31896.png,0
82346.png,0
57348.png,1
75380.png,1
32674.png,0
20739.png,0
30549.png,0
94675.png,0
34178.png,0
71046.png,1
74190.png,0
64087.png,1
31450.png,0
27608.png,0
98245.png,0
91863.png,1
75096.png,0
78064.png,1
51972.png,0
31729.png,0
96152.png,0
09352.png,1
43650.png,0
62531.png,0
81293.png,0
38495.png,1
95281.png,0
43657.png,1
76810.png,0
06412.png,1
27365.png,0
47251.png,1
45389.png,1
08569.png,0
81260.png,1
37260.png,0
04827.png,1
09215.png,0
38752.png,0
85290.png,0
47053.png,1
06547.png,1
50386.png,0
42715.png,0
48271.png,1
19504.png,0
73956.png,0
95067.png,0
86135.png,0
41263.png,0
15847.png,0
82539.png,1
04912.png,1
34910.png,0
67092.png,0
86457.png,0
74658.png,0
67031.png,0
67810.png,1
30726.png,0
56834.png,1
46817.png,0
67938.png,0
65108.png,0
01274.png,0
17450.png,1
45301.png,0
74098.png,1
58370.png,0
36420.png,0
52910.png,0
92056.png,1
56792.png,0
69013.png,0
82916.png,0
17652.png,1
50784.png,0
81976.png,1
39541.png,0
65341.png,0
87215.png,0
45206.png,0
50683.png,0
76348.png,1
91803.png,1
71294.png,0
30745.png,1
09572.png,1
92573.png,1
75430.png,0
67504.png,0
70294.png,1
21405.png,0
36751.png,0
72698.png,1
04619.png,1
46270.png,1
81946.png,0
64531.png,0
98506.png,0
14092.png,0
43759.png,0
42156.png,0
35786.png,0
54728.png,0
02971.png,1
76489.png,0
97804.png,0
21804.png,0
28974.png,1
87639.png,0
12839.png,0
04976.png,0
28319.png,0
92835.png,1
74915.png,0
63410.png,0
25901.png,1
80259.png,1
02987.png,0
14675.png,0
37504.png,0
92581.png,0
62904.png,0
46017.png,0
68327.png,1
74589.png,1
94278.png,0
80943.png,0
19408.png,0
84653.png,1
48932.png,0
43608.png,1
93126.png,0
59824.png,1
92481.png,1
09315.png,0
76491.png,0
19763.png,1
80593.png,0
04986.png,0
80742.png,1
91402.png,0
45723.png,0
35608.png,1
13478.png,0
27634.png,0
29083.png,0
13049.png,0
96423.png,0
49150.png,1
82651.png,1
68719.png,0
51964.png,1
50738.png,1
58421.png,0
16435.png,1
95783.png,1
30871.png,1
71390.png,0
67259.png,1
64789.png,0
23068.png,0
65207.png,0
82549.png,0
54629.png,0
16072.png,1
01974.png,1
36945.png,0
82593.png,1
17532.png,0
09217.png,0
07248.png,1
29714.png,1
79205.png,0
76581.png,1
01842.png,0
86934.png,1
71823.png,0
43758.png,0
47521.png,0
81904.png,1
31809.png,0
46380.png,0
91026.png,0
54170.png,0
07926.png,0
83076.png,1
20851.png,1
30829.png,0
12649.png,0
12936.png,1
20318.png,0
09248.png,0
48309.png,0
52780.png,0
18679.png,1
02457.png,1
14283.png,0
61289.png,0
48391.png,0
90345.png,0
86159.png,1
38706.png,0
21583.png,0
75921.png,0
10948.png,1
51367.png,1
57284.png,0
59034.png,0
25093.png,0
90378.png,0
10725.png,0
27416.png,1
79451.png,1
92734.png,0
46182.png,0
28507.png,1
52936.png,0
56497.png,0
59380.png,0
80925.png,0
72634.png,0
83061.png,0
23074.png,0
19742.png,1
71849.png,1
51349.png,0
20183.png,1
16298.png,0
80152.png,0
84593.png,0
07592.png,0
12958.png,1
15236.png,0
91563.png,0
32798.png,0
25904.png,0
56942.png,0
27854.png,0
63548.png,0
38697.png,0
12450.png,1
37859.png,1
02917.png,1
03759.png,0
19543.png,1
59048.png,0
34728.png,0
78619.png,0
18029.png,0
02945.png,1
64720.png,1
37184.png,0
34021.png,1
72936.png,1
84265.png,1
28695.png,1
43658.png,0
80769.png,0
43096.png,0
47629.png,1
41538.png,1
04786.png,1
98270.png,0
75021.png,1
86254.png,0
80241.png,0
04356.png,0
78639.png,0
50964.png,0
82941.png,0
39475.png,1
84061.png,0
38609.png,0
46938.png,0
86914.png,1
97481.png,0
92187.png,0
79032.png,1
85097.png,1
49861.png,1
34620.png,1
80327.png,0
60357.png,1
68901.png,0
86045.png,1
39704.png,0
24860.png,1
05741.png,0
64532.png,1
12094.png,0
98601.png,0
68270.png,1
59237.png,0
07582.png,0
94205.png,0
17430.png,1
09465.png,1
52034.png,0
98734.png,1
94725.png,0
91356.png,1
40826.png,0
31472.png,0
17589.png,1
87260.png,0
39765.png,0
95376.png,1
45197.png,0
83095.png,1
27461.png,1
35740.png,0
80425.png,0
74901.png,0
93152.png,0
34671.png,0
98571.png,0
20195.png,1
05813.png,0
43185.png,0
03615.png,0
05148.png,1
41679.png,1
93852.png,0
68941.png,0
65931.png,0
17948.png,1
51708.png,0
31029.png,0
91052.png,1
10463.png,0
57490.png,0
76924.png,0
81294.png,1
47569.png,1
75209.png,1
82603.png,1
61527.png,0
41087.png,0
91845.png,0
56128.png,1
24395.png,1
18236.png,0
42056.png,1
74890.png,1
40759.png,0
51476.png,1
86071.png,1
41037.png,1
17965.png,0
64870.png,1
76285.png,1
05672.png,0
57926.png,0
95064.png,0
87409.png,1
09382.png,0
84629.png,0
13986.png,0
72964.png,0
73205.png,0
28610.png,1
67312.png,0
17536.png,0
43190.png,0
47518.png,1
92768.png,1
45208.png,0
56917.png,0
07916.png,0
41869.png,1
75290.png,1
18052.png,0
03296.png,0
03268.png,0
46238.png,0
40716.png,0
74061.png,1
51387.png,1
30527.png,1
78345.png,0
85132.png,0
35048.png,1
65741.png,1
52761.png,0
47531.png,0
58476.png,0
97805.png,0
89245.png,1
04918.png,0
71086.png,0
84620.png,1
35671.png,1
49178.png,0
70562.png,0
60134.png,1
35640.png,0
58674.png,0
08641.png,0
54038.png,0
37284.png,1
87263.png,1
84209.png,0
31406.png,0
74198.png,1
70851.png,0
49618.png,0
79823.png,1
61347.png,0
50286.png,1
21936.png,0
79280.png,0
28639.png,0
34698.png,0
71380.png,0
32549.png,1
83025.png,1
29463.png,0
49725.png,0
58176.png,0
80765.png,0
40257.png,1
42315.png,0
06375.png,0
15298.png,0
35017.png,0
48216.png,0
03845.png,1
89634.png,1
60451.png,1
23158.png,1
53206.png,0
68713.png,0
98574.png,0
93208.png,1
72490.png,0
18257.png,1
07285.png,0
98425.png,1
79385.png,0
79845.png,0
51304.png,0
05912.png,0
16874.png,0
79425.png,0
12784.png,0
89314.png,0
23940.png,0
63715.png,0
96417.png,0
23746.png,1
32695.png,0
95478.png,1
49153.png,1
05719.png,1
49810.png,0
92375.png,1
31495.png,0
18294.png,0
61257.png,0
31640.png,1
08476.png,0
83907.png,1
50372.png,0
03418.png,0
87023.png,1
83125.png,1
01568.png,1
23416.png,0
47615.png,0
96127.png,0
17493.png,1
63578.png,0
17458.png,0
67348.png,0
23478.png,0
78302.png,0
06725.png,0
76032.png,0
54708.png,0
18546.png,0
52867.png,1
31295.png,0
29675.png,1
69503.png,0
84563.png,1
96845.png,0
73814.png,0
95684.png,0
89267.png,0
42503.png,1
50413.png,0
42865.png,0
54962.png,1
67843.png,1
40372.png,1
04719.png,0
05421.png,0
64175.png,0
36910.png,0
26085.png,0
39158.png,0
10692.png,0
42816.png,1
71396.png,1
49762.png,0
02548.png,0
87125.png,0
42608.png,0
29851.png,1
64153.png,1
06945.png,0
84537.png,0
74609.png,1
35168.png,0
43085.png,0
97184.png,0
58329.png,0
57630.png,1
76035.png,0
94571.png,1
83794.png,0
79680.png,1
21089.png,1
87261.png,1
91872.png,0
81625.png,0
50471.png,1
27169.png,1
37084.png,0
48917.png,1
75230.png,0
91786.png,1
06847.png,0
01293.png,0
81349.png,0
69708.png,0
96517.png,1
56812.png,0
83607.png,0
18274.png,1
85209.png,0
40216.png,0
18296.png,0
32576.png,0
08147.png,0
60254.png,0
85034.png,1
85741.png,0
30896.png,0
59743.png,0
69728.png,1
72638.png,0
03124.png,0
69520.png,1
06985.png,0
12086.png,1
63712.png,1
64385.png,0
37294.png,0
30675.png,1
26419.png,0
10839.png,0
61407.png,0
98154.png,0
75382.png,1
63501.png,0
25096.png,0
19752.png,0
38109.png,0
36240.png,0
80576.png,1
42871.png,1
57260.png,0
34960.png,0
71302.png,0
50263.png,1
59163.png,0
70865.png,0
98756.png,1
81645.png,0
72095.png,0
87126.png,1
32490.png,1
34587.png,0
61207.png,1
46183.png,1
95724.png,0
29507.png,0
86705.png,0
10493.png,0
70196.png,1
63105.png,0
19507.png,0
60841.png,1
20738.png,1
07436.png,0
27860.png,1
21957.png,1
57298.png,0
89320.png,0
23806.png,1
27395.png,0
19326.png,0
30518.png,0
67413.png,0
98714.png,1
45316.png,1
83296.png,0
87649.png,0
12495.png,0
45016.png,0
69842.png,0
48739.png,1
26409.png,0
24061.png,0
40629.png,0
94860.png,0
61492.png,0
37829.png,0
26489.png,0
75092.png,1
80615.png,0
38574.png,0
86504.png,0
89743.png,0
07463.png,0
46387.png,0
23048.png,0
64723.png,1
27351.png,0
20146.png,0
09615.png,0
58019.png,1
14728.png,0
29574.png,1
15846.png,0
62301.png,0
12604.png,0
83257.png,0
79614.png,1
78125.png,1
31205.png,0
89123.png,1
61250.png,0
16849.png,1
56938.png,0
63201.png,0
47136.png,1
37296.png,0
14263.png,0
79581.png,1
27405.png,1
68429.png,0
27468.png,1
09827.png,0
67195.png,1
62178.png,1
94356.png,0
29475.png,0
13276.png,0
34180.png,1
12754.png,0
73926.png,0
65829.png,0
87149.png,1
53827.png,0
46980.png,0
20673.png,0
56791.png,0
91367.png,1
76098.png,0
26894.png,0
16537.png,0
34670.png,1
51682.png,1
49021.png,0
90574.png,1
98072.png,0
80154.png,0
23071.png,0
58027.png,0
48103.png,0
64321.png,0
62158.png,1
37459.png,0
82705.png,1
74913.png,0
59203.png,1
94013.png,0
42687.png,0
97045.png,0
26903.png,0
47596.png,1
93728.png,1
67142.png,1
62108.png,0
52837.png,1
37214.png,0
57103.png,0
43259.png,0
78902.png,0
83152.png,1
61948.png,1
09843.png,1
14259.png,1
72356.png,0
71943.png,0
70825.png,0
85439.png,1
70324.png,1
78091.png,0
27436.png,0
68520.png,0
67125.png,0
46928.png,0
21809.png,0
82563.png,0
16920.png,0
85461.png,1
40385.png,1
20435.png,0
30142.png,0
71309.png,0
25401.png,1
39560.png,0
45609.png,0
85964.png,0
20498.png,0
86437.png,0
45297.png,0
63587.png,0
31678.png,0
54301.png,1
51687.png,0
49168.png,0
29764.png,0
79512.png,0
54601.png,0
63051.png,0
71389.png,0
79516.png,0
17234.png,0
75018.png,0
65273.png,1
02935.png,0
05214.png,1
10843.png,0
72358.png,0
36429.png,0
47985.png,0
01576.png,0
82673.png,0
40865.png,1
71528.png,0
10345.png,0
13602.png,0
48936.png,0
46027.png,1
02467.png,0
13045.png,0
16059.png,0
92370.png,0
92501.png,1
52068.png,0
78054.png,0
58971.png,0
09785.png,0
41637.png,0
51248.png,0
89325.png,0
71265.png,0
05781.png,0
32617.png,0
23754.png,1
50236.png,0
58637.png,0
81624.png,1
71836.png,0
36092.png,0
62485.png,1
18963.png,1
98670.png,1
41769.png,0
27048.png,0
74310.png,0
65087.png,0
69415.png,0
